Narcis total;2022-11-21 08:38:27.489204;2022;;;43968
Narcis total;2022-11-21 08:38:27.489222;2021;;;73448
Narcis total;2022-11-21 08:38:27.489227;2020;;;71236
Narcis total;2022-11-21 08:38:27.489231;2019;;;72352
Narcis total;2022-11-21 08:38:27.489235;2018;;;71722

---------

Narcis total;2022-11-21 10:56:28.899333;2022;;;43968
Narcis total;2022-11-21 10:56:28.899368;2021;;;73448
Narcis total;2022-11-21 10:56:28.899374;2020;;;71236
Narcis total;2022-11-21 10:56:28.899378;2019;;;72352
Narcis total;2022-11-21 10:56:28.899382;2018;;;71722
